,data,hora,rodovia,km,municipio,tipo,gravidade,latitude,longitude
13908,2023-11-12,19:50:00,101.0,81,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.76469466,-35.28295988
13910,2023-11-12,19:50:00,101.0,81,NATAL,Colisão traseira,Com Vítimas Feridas,-5.76469466,-35.28295988
13912,2023-11-13,11:30:00,304.0,32,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.13933087,-37.3456192
13914,2023-11-13,13:45:00,101.0,105,PARNAMIRIM,Colisão traseira,Com Vítimas Feridas,-5.90165196,-35.25928517
13916,2023-11-13,14:20:00,226.0,2,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.81148191,-35.2454192
13918,2023-11-14,11:20:00,427.0,55,JARDIM DO SERIDO,Queda de ocupante de veículo,Com Vítimas Feridas,-6.59042026,-36.77155697
13921,2023-11-14,11:20:00,427.0,55,JARDIM DO SERIDO,Colisão transversal,Com Vítimas Feridas,-6.59042026,-36.77155697
13924,2023-11-14,11:30:00,101.0,71,EXTREMOZ,Saída de leito carroçável,Com Vítimas Feridas,-5.68968701,-35.26298333
13930,2023-11-14,11:30:00,101.0,71,EXTREMOZ,Colisão com objeto,Com Vítimas Feridas,-5.68968701,-35.26298333
13936,2023-11-14,11:30:00,101.0,71,EXTREMOZ,Colisão transversal,Com Vítimas Feridas,-5.68968701,-35.26298333
13942,2023-11-16,08:40:00,405.0,150,PAU DOS FERROS,Tombamento,Com Vítimas Feridas,-6.10581398,-38.20595589
13948,2023-11-16,08:40:00,405.0,150,PAU DOS FERROS,Queda de ocupante de veículo,Com Vítimas Feridas,-6.10581398,-38.20595589
13954,2023-11-16,08:40:00,405.0,150,PAU DOS FERROS,Colisão frontal,Com Vítimas Feridas,-6.10581398,-38.20595589
13960,2023-11-17,18:25:00,101.0,83,SAO GONCALO DO AMARANTE,Colisão traseira,Com Vítimas Feridas,-5.771044,-35.266171
13962,2023-11-18,10:50:00,101.0,112,SAO JOSE DE MIPIBU,Colisão traseira,Com Vítimas Feridas,-5.9643,-35.264877
13966,2023-11-18,17:55:00,304.0,44,MOSSORO,Colisão com objeto,Sem Vítimas,-5.22351428,-37.35781214
13970,2023-11-19,08:15:00,101.0,104,PARNAMIRIM,Colisão lateral mesmo sentido,Sem Vítimas,-5.892745,-35.257225
13972,2023-11-19,10:00:00,101.0,82,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.76791511,-35.27456305
13973,2023-11-19,09:50:00,101.0,85,NATAL,Colisão traseira,Com Vítimas Feridas,-5.777664,-35.249371
13975,2023-11-19,18:15:00,406.0,163,CEARA-MIRIM,Colisão traseira,Com Vítimas Feridas,-5.73527201,-35.35543901
13977,2023-11-20,06:10:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão traseira,Com Vítimas Feridas,-5.756651,-35.304758
13978,2023-11-20,06:00:00,406.0,159,CEARA-MIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.7065959,-35.37766687
13986,2023-11-20,06:00:00,406.0,159,CEARA-MIRIM,Tombamento,Com Vítimas Feridas,-5.7065959,-35.37766687
13994,2023-11-20,06:00:00,406.0,159,CEARA-MIRIM,Colisão traseira,Com Vítimas Feridas,-5.7065959,-35.37766687
14002,2023-11-20,07:20:00,101.0,75,NATAL,Colisão com objeto,Sem Vítimas,-5.721906,-35.27672
14004,2023-11-20,07:20:00,101.0,75,NATAL,Eventos atípicos,Sem Vítimas,-5.721906,-35.27672
14006,2023-11-20,18:30:00,101.0,153,GOIANINHA,Capotamento,Com Vítimas Feridas,-6.31748925,-35.18316143
14011,2023-11-21,19:50:00,406.0,150,CEARA-MIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.672193,-35.404501
14012,2023-11-21,19:50:00,406.0,150,CEARA-MIRIM,Tombamento,Com Vítimas Feridas,-5.672193,-35.404501
